rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,2455003.539,2.160000e-03,-2.160000e-03,0,,,,,,0.1460,0.3180,-0.1460,2.95750,0.08190,-0.08190,,,,6.1580e+02,1.950e+01,-1.950e+01,0.022344,8.320000e-04,-5.280000e-04,3.20796,0.33173,-1.09986,LS+MCMC,2.26,2.600e-01,-1.500e-01,0.0853,,,89.66,,,793.0,,,93.59,29.45,-16.65,24.810000,2.600000,-2.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,5.1358490,28.4708200,35.80,2,142,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.68640,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-001-20160209194854_dvs.pdf,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.002,19.462294000,0.000014000,48.14191000,0.00013000,0.43000,0.51000,0.94000,0.48000,-2.000000e-04,3.20000e-04,-5.500000e-04,3.10000e-04,-0.0100,0.1300,0.2000,0.1600,0.2000,0.1700,0.0800,0.1300,0.3100,0.1700,0.3200,0.1600
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9690,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,2454995.514,3.520000e-03,-3.520000e-03,0,,,,,,0.5860,0.0590,-0.4430,4.50700,0.11600,-0.11600,,,,8.7480e+02,3.550e+01,-3.550e+01,0.027954,9.078000e-03,-1.347000e-03,3.02368,2.20489,-2.49638,LS+MCMC,2.83,3.200e-01,-1.900e-01,0.2734,,,89.57,,,443.0,,,9.11,2.87,-1.62,77.900000,28.400000,-28.400000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,7.0276690,20.1095070,25.80,2,25,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.00230,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-002-20160209194854_dvs.pdf,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.003,19.462265000,0.000020000,48.14199000,0.00019000,-0.63000,0.72000,1.23000,0.68000,6.600000e-04,6.50000e-04,-1.050000e-03,6.30000e-04,0.3900,0.3600,0.0000,0.4800,0.3900,0.3600,0.4900,0.3400,0.1200,0.7300,0.5000,0.4500
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,2.525591777,3.7610000e-06,-3.7610000e-06,171.5955500,1.130000e-03,-1.130000e-03,2455004.596,1.130000e-03,-1.130000e-03,0,,,,,,0.7010,0.2350,-0.4780,1.65450,0.04200,-0.04200,,,,6.0330e+02,1.690e+01,-1.690e+01,0.024064,3.751000e-03,-1.522000e-03,1.98635,2.71141,-1.74541,LS+MCMC,2.75,8.800e-01,-3.500e-01,0.0374,,,85.41,,,1406.0,,,926.16,874.33,-314.24,8.750000,4.000000,-4.000000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2844,0.3661,q1_q17_dr25_koi,4.7499450,33.1919000,40.90,1,515,1,q1_q17_dr25_tce,01111111111111111000000000000000,0.30900,Mandel and Agol (2002 ApJ 580 171),,,010/010854/010854555/dv/kplr010854555-20160209194854_dvr.pdf,010/010854/010854555/dv/kplr010854555-001-20160209194854_dvs.pdf,6031.00,169.00,-211.00,4.438,0.070,-0.210,0.0700,0.2500,-0.3000,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360,,,,q1_q17_dr25_stellar,288.754880,48.226200,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.733,19.250325800,0.000009700,48.22626000,0.00010000,-0.01000,0.35000,0.23000,0.37000,8.000000e-05,2.00000e-04,-7.000000e-05,2.20000e-04,0.0300,0.1900,-0.0900,0.1800,0.1000,0.1400,0.0700,0.1800,0.0200,0.1600,0.0700,0.2000
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,11.094320540,2.0360000e-05,-2.0360000e-05,171.2011600,1.410000e-03,-1.410000e-03,2455004.201,1.410000e-03,-1.410000e-03,0,,,,,,0.5380,0.0300,-0.4280,4.59450,0.06100,-0.06100,,,,1.5175e+03,2.420e+01,-2.420e+01,0.036779,5.115000e-03,-1.065000e-03,0.67324,0.33286,-0.38858,LS+MCMC,3.90,1.270e+00,-4.200e-01,0.0992,,,88.11,,,835.0,,,114.81,112.85,-36.70,16.360000,8.100000,-8.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,9.0464560,55.2048650,66.50,3,95,1,q1_q17_dr25_tce,01111101110111011000000000000000,0.09750,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-001-20160209194854_dvs.pdf,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752406100,0.000006100,48.22471000,0.00006500,-0.12000,0.22000,0.14000,0.24000,4.000000e-05,3.40000e-04,,,0.0400,0.1200,-0.0700,0.1100,0.0800,0.1300,-0.0200,0.1300,-0.0800,0.1000,0.0800,0.1000
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,4.134435120,1.0460000e-05,-1.0460000e-05,172.9793700,1.900000e-03,-1.900000e-03,2455005.979,1.900000e-03,-1.900000e-03,0,,,,,,0.7620,0.1390,-0.5320,3.14020,0.06730,-0.06730,,,,6.8600e+02,1.870e+01,-1.870e+01,0.026133,1.968000e-03,-2.055000e-03,0.37377,0.74768,-0.26357,LS+MCMC,2.77,9.000e-01,-3.000e-01,0.0514,,,83.72,,,1160.0,,,427.65,420.33,-136.70,6.960000,2.800000,-2.800000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,5.5006430,33.5466580,40.20,3,240,2,q1_q17_dr25_tce,01111101110111011000000000000000,0.54600,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-002-20160209194854_dvs.pdf,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752413000,0.000010000,48.22458000,0.00011000,0.14000,0.36000,-0.32000,0.40000,-1.600000e-04,2.50000e-04,,,0.2500,0.1400,0.0900,0.1600,0.2600,0.1600,0.1800,0.1500,0.0600,0.1500,0.1900,0.1700
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9920,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,2.566588970,1.7810000e-05,-1.7810000e-05,179.5543700,4.610000e-03,-4.610000e-03,2455012.554,4.610000e-03,-4.610000e-03,0,,,,,,0.7550,0.2120,-0.5230,2.42900,0.16500,-0.16500,,,,2.2650e+02,1.680e+01,-1.680e+01,0.014983,3.935000e-03,-1.417000e-03,0.48909,0.95593,-0.45121,LS+MCMC,1.59,5.200e-01,-1.700e-01,0.0374,,,82.17,,,1360.0,,,807.74,793.91,-258.20,5.540000,2.700000,-2.700000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,4.3886313,12.3250940,15.00,3,355,3,q1_q17_dr25_tce,01111101110111011000000000000000,0.43520,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-003-20160209194854_dvs.pdf,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752412000,0.000028000,48.22476000,0.00030000,0.10000,1.00000,0.30000,1.10000,-4.000000e-05,2.10000e-04,,,-0.3300,0.3300,-0.3000,0.2100,0.4500,0.2800,-0.4100,0.3300,-0.2900,0.2100,0.5000,0.3000
2038,8890150,K02650.01,Kepler-395 c,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9850,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,34.989784700,3.8030000e-04,-3.8030000e-04,144.2091200,9.700000e-03,-9.700000e-03,2454977.209,9.700000e-03,-9.700000e-03,0,,,,,,0.0340,0.4220,-0.0340,4.20800,0.23500,-0.23500,,,,4.9850e+02,4.720e+01,-4.720e+01,0.020074,1.455000e-03,-9.070000e-04,4.19621,0.40190,-1.99882,LS+MCMC,1.14,7.000e-02,-1.000e-01,0.1691,,,89.97,,,292.0,,,1.71,0.35,-0.42,64.760000,6.200000,-6.200000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3037,0.4224,q1_q17_dr25_koi,3.8563123,10.0909195,11.50,2,40,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.52780,Mandel and Agol (2002 ApJ 580 171),,,008/008890/008890150/dv/kplr008890150-20160209194854_dvr.pdf,008/008890/008890150/dv/kplr008890150-001-20160209194854_dvs.pdf,3765.00,75.00,-83.00,4.725,0.049,-0.021,0.0200,0.1500,-0.1500,0.5210,0.0290,-0.0470,0.5260,0.0350,-0.0420,,,,q1_q17_dr25_stellar,293.511080,45.136589,15.987,17.431,16.016,15.369,15.039,13.818,13.131,12.948,0.216,19.567430000,0.000026000,45.13639000,0.00029000,0.91000,1.00000,-0.70000,1.00000,-4.500000e-04,5.90000e-04,4.600000e-04,6.10000e-04,0.1900,0.3400,-0.5000,0.5600,0.5300,0.5700,0.3900,0.3700,-0.2600,0.4800,0.4700,0.4300
4688,6497146,K03284.01,Kepler-438 b,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,35.233069400,2.7050000e-04,-2.7050000e-04,135.3647700,6.370000e-03,-6.370000e-03,2454968.365,6.370000e-03,-6.370000e-03,0,,,,,,0.1390,0.3230,-0.1390,3.67400,0.21500,-0.21500,,,,3.5280e+02,2.750e+01,-2.750e+01,0.016941,1.070000e-03,-7.250000e-04,6.12686,0.96504,-2.63386,LS+MCMC,0.97,6.000e-02,-7.000e-02,0.1729,,,89.89,,,288.0,,,1.62,0.37,-0.34,73.800000,11.600000,-11.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2107,0.5308,q1_q17_dr25_koi,3.8971653,11.9203230,14.50,1,38,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.61200,Mandel and Agol (2002 ApJ 580 171),,,006/006497/006497146/dv/kplr006497146-20160209194854_dvr.pdf,006/006497/006497146/dv/kplr006497146-001-20160209194854_dvs.pdf,3749.00,75.00,-84.00,4.743,0.033,-0.033,0.1600,0.1500,-0.1500,0.5240,0.0330,-0.0370,0.5540,0.0280,-0.0430,,,,q1_q17_dr25_stellar,281.645810,41.951092,14.467,15.987,14.610,13.815,13.393,12.130,11.449,11.199,0.002,18.776325000,0.000021000,41.95070000,0.00024000,-2.47000,0.86000,-1.39000,0.87000,5.800000e-04,3.20000e-04,4.300000e-04,3.20000e-04,-0.2800,0.4200,-0.0300,0.3300,0.2800,0.4200,-0.4800,0.4200,0.0000,0.3300,0.4800,0.4200
7542,9480398,K07179.01,,CANDIDATE,Active,2015-09-18,CANDIDATE,,0,0,0,0,q1_q17_dr24_koi,TOO_FEW_QUARTERS,407.146560000,5.8960000e-02,-5.8960000e-02,509.2570000,7.430000e-02,-7.430000e-02,2455342.257,7.430000e-02,-7.430000e-02,0,,,,,,0.7466,0.0484,-0.5277,23.26000,3.70000,-3.70000,,,,8.2300e+01,1.220e+01,-1.220e+01,0.008994,2.324000e-03,-1.042000e-03,0.08531,0.40496,-0.07313,MCMC,1.18,4.900e-01,-2.200e-01,1.0765,,,89.38,,,272.0,,,1.29,1.66,-0.54,90.800000,43.100000,-43.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2738,0.3852,q1_q17_dr24_koi,6.7403010,7.8154755,8.20,1,3,1,q1_q17_dr24_tce,11111101110111011000000000000000,,Mandel and Agol (2002 ApJ 580 171),,,009/009480/009480398/dv/kplr009480398-20141002224145_dvr.pdf,009/009480/009480398/dv/kplr009480398-001-20141002224145_dvs.pdf,5845.00,181.00,-197.00,4.282,0.162,-0.162,0.0200,0.2200,-0.2800,1.1980,0.5030,-0.2200,1.0010,0.1970,-0.1090,,,,stellar_q1_q17,297.374270,46.054806,13.310,13.544,13.244,13.210,,11.535,11.211,11.156,0.149,19.824913000,0.000054000,46.05438000,0.00055000,-1.40000,2.00000,-1.50000,2.00000,1.400000e-04,2.00000e-04,1.400000e-04,1.90000e-04,1.7000,1.6000,0.9000,2.6000,1.9000,3.0000,1.8000,2.7000,0.9000,4.3000,2.1000,4.5000
2617,3642335,K03010.01,Kepler-1410 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9960,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,60.866097400,6.4970000e-04,-6.4970000e-04,179.2867400,7.870000e-03,-7.870000e-03,2455012.287,7.870000e-03,-7.870000e-03,0,,,,,,0.0040,0.4630,-0.0040,4.39700,0.23800,-0.23800,,,,7.1430e+02,5.370e+01,-5.370e+01,0.024307,1.273000e-03,-1.109000e-03,6.48899,0.04423,-3.57545,LS+MCMC,1.39,7.000e-02,-1.000e-01,0.2465,,,90.00,,,244.0,,,0.84,0.17,-0.16,108.315000,0.738000,-0.738000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3037,0.4224,q1_q17_dr25_koi,3.7375264,12.6815020,15.40,1,23,1,q1_q17_dr25_tce,01111111111111111000000000000000,0.90580,Mandel and Agol (2002 ApJ 580 171),,,003/003642/003642335/dv/kplr003642335-20160209194854_dvr.pdf,003/003642/003642335/dv/kplr003642335-001-20160209194854_dvs.pdf,3808.00,69.00,-76.00,4.734,0.033,-0.027,-0.0200,0.1500,-0.1500,0.5220,0.0280,-0.0350,0.5390,0.0300,-0.0370,,,,q1_q17_dr25_stellar,290.510190,38.743542,15.757,17.121,15.759,15.173,14.829,13.586,12.906,12.767,0.052,19.367387000,0.000025000,38.74388000,0.00024000,1.70000,1.00000,1.21000,0.86000,-9.600000e-04,7.90000e-04,-5.200000e-04,6.60000e-04,-0.2500,0.5000,-0.5600,0.7300,0.6200,0.7900,0.5100,0.4800,-0.2100,0.3700,0.5500,0.4700
